Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Elected/Nominated,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
2548,Punjab,Construction of toilet blocks,WS/MP235/2025-2026/267404,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,,Billa Contractor,Payment Success,51900
2549,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18292/2025-2026/165437,NANDED(DISTRICT COLLECTOR NANDED_IDA),Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030),Elected MP,,GRAM PANCHAYAT KARYALAY KAUTHA TQ BILOLI,Payment Success,993425
2550,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18292/2026-2027/160407,NANDED(DISTRICT COLLECTOR NANDED_IDA),Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030),Elected MP,,GRAM PANCHAYAT KARYALAY KEDARKUNTHA TQ DEGLOOR,Payment Success,495062
2551,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18292/2026-2027/228983,NANDED(DISTRICT COLLECTOR NANDED_IDA),Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030),Elected MP,,GRAM PANCHAYAT KARYALAY KEDARKUNTHA TQ DEGLOOR,Payment Success,994343
2552,Maharashtra,Construction of community centers and community halls,WS/MP18286/2026-2027/228658,PUNE(DISTRICT COLLECTOR PUNE_IDA),Dr. Medha Vishram Kulkarni (2024-30) (2024-2030),Elected MP,,Shriram Wadar Majur Sahakari Sanstha Maryadit,Payment Success,499999
2553,Maharashtra,Security gates in streets/public place for safety purpose,WS/MP18286/2026-2027/228659,PUNE(DISTRICT COLLECTOR PUNE_IDA),Dr. Medha Vishram Kulkarni (2024-30) (2024-2030),Elected MP,,Shriram Wadar Majur Sahakari Sanstha Maryadit,Payment Success,499870
2554,Puducherry,Purchase of hospital equipment,WS/MP139/2025-2026/132774,Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA),Shri S. Selvaganabathy (2021-27) (2021-2027),Elected MP,,NG ENTERPRISES,Payment Success,99370
2555,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18374/2025-2026/212993,KAITHAL(DC CUM NODAL OFFICERS MPLADS),Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030),Elected MP,,THE JANTA JANGRA COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY LIMITED,Payment Success,416831
2556,Punjab,Lighting of public spaces,WS/MP235/2025-2026/274843,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,,Kapoor Electricals,Payment Success,168420
2557,Punjab,Lighting of public spaces,WS/MP235/2025-2026/274840,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,,Kapoor Electricals,Payment Success,280700
