Sr. No.,Work category,WORK,State,IDA,Hon'ble Members of Parliament,Elected/Nominated,Work description,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date
695,Normal/Others,WS/MP192/2023-2024/13381-Installing community drinking water plants,Uttar Pradesh,BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Public Drinking water- Janta Vedic Inter College Naurijpur Gujjar Baghpat Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad,2023-08-26,469982,2024-02-02
696,Normal/Others,WS/MP192/2023-2024/13382-Installing community drinking water plants,Uttar Pradesh,BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Public Drinking water- Nehru Smarak Inter College Budhera Baghpat. Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad,2023-08-26,469982,2024-02-02
697,Normal/Others,WS/MP192/2023-2024/13383-Installing community drinking water plants,Uttar Pradesh,BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Public Drinking water- Sardar Patel Inter CollegeBali Mewla Baghpat. Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad,2023-08-26,469982,2024-02-02
698,Normal/Others,WS/MP192/2023-2024/13384-Installing community drinking water plants,Uttar Pradesh,BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Public Drinking water- Shri Ashok Vidyalay Inter College kamala joor Baghpat. Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad,2023-08-26,469982,2024-02-02
699,Normal/Others,WS/MP192/2023-2024/13385-Installing community drinking water plants,Uttar Pradesh,BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Public Drinking water- Sardar Vallabhbhai Patel H.S. kaidva Baghpat. Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad,2023-08-26,470000,2024-02-02
700,Normal/Others,WS/MP192/2023-2024/13386-Installing community drinking water plants,Uttar Pradesh,BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Public Drinking water- Shri Rajesh Pilot public H.S. Ibrahimabad Gawandi Baghpat. Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad,2023-08-26,469982,2024-02-02
701,Normal/Others,WS/MP192/2023-2024/13387-Installing community drinking water plants,Uttar Pradesh,BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Public Drinking water- Shaheed Manveer National School Bali Baghpat. Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad,2023-08-26,469982,2024-02-02
702,Normal/Others,WS/MP192/2023-2024/13388-Installing community drinking water plants,Uttar Pradesh,BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Public Drinking water- Shri Gopichand Bhartri Inter College Ahera Baghpat. Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad,2023-08-26,469982,2024-02-02
703,Normal/Others,WS/MP078/2023-2024/13390-Construction of community centers and community halls,Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,"C/o Community Hall/Centre at Village Dohag Patiyahu P.O.& Vill. Nalti, Dev. Block Hamirpur, Distt. Hamirpur(HP)",2023-08-26,300000,2023-10-07
704,Normal/Others,WS/MP078/2023-2024/13408-Street lights,Himachal Pradesh,SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,Installation & Fixing of 15 Nos of solar Lights in harijan Basti of Villages list uploded,2023-08-26,250000,2024-02-03
705,Normal/Others,WS/MP078/2023-2024/13410-Construction of community centers and community halls,Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,"C/o Community Centre at Vill. Budana (Miyan Di Bal) PO & Sub Tehsil Kangoo, Dev. Block Nadaun Distt. Hamirpur",2023-08-26,500000,2024-01-24
706,Normal/Others,WS/MP078/2023-2024/13416-Street lights,Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,installation & Fixing of 05 Nos solar Lights at village Budhwana (Miyan Di Bal) P. O. & Sub Tehsil Kangoo Distt. Hamirpur HP as per Recommendation by Sh. Vijay Katoch,2023-08-26,88465,2023-12-23
707,Normal/Others,WS/MP078/2023-2024/13417-Construction of community centers and community halls,Himachal Pradesh,UNA(DEPUTY COMMISSIOENR UNA_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,"C/o Community Hall/Centre Building at Harijan Basti Village &GP Balh Khalsa, Teh. Bangana Dev. Block bangana Distt. Una (HP) as per recommendation of Baba kamaljeet",2023-08-26,1000000,2023-11-17
708,Normal/Others,WS/MP078/2023-2024/13425-Construction of community centers and community halls,Himachal Pradesh,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,C/o Community Centre/Building harijan Basti at Vill. Dangra pO Pragpur Teh. Dehra Dev. Block Pragpur Distt. Kangra (HP) as per recommendation of Vinod Kumar Ex Gram Panchayat Pradhan,2023-08-26,500000,2024-01-10
709,Normal/Others,WS/MP078/2023-2024/13426-Street lights,Himachal Pradesh,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,Installation & Fixing of 05 Nos Solar Lights harijan basti at Vill. Dangra P.O. Pragpur teh. Dehra Dev. Block Pragpur Distt. Kangra HP as per recommendation of Vinod Kumar Ex Gram Panchayat Pradhan,2023-08-26,74025,2023-10-27
710,Normal/Others,WS/MP078/2023-2024/13427-Purchase of books for public libraries/ digitization of library books,Himachal Pradesh,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,"Purchase of Books for Thirty (30) GSSS, Schools of Distt. Mandi in Urban and Rural areas",2023-08-26,3000000,2023-11-10
711,Normal/Others,"WS/MP078/2023-2024/13524-Construction of roads, link roads, pathways or any other road with or without drainage system",Himachal Pradesh,CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,C/o L/R from Dhar to Shumnu G. P. Singadhar Dev. Block Saluni Distt. Chamba HP,2023-08-27,300000,2024-03-14
712,Repair and Renovation,WS/MP078/2024-2025/13532-Construction of footpaths and pedestrian ways,Himachal Pradesh,SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,"C/o Boundary Wall (Danga) near the house of Sh. Duni Chand Kashyap, Vio; Shungra PO Shaddi Matyana G.P. Kaljar Matyana Dev. Block Theog Distt. Shimla HP",2023-08-27,150000,2025-02-15
713,Normal/Others,WS/MP078/2023-2024/13534-Construction of culverts and bridges,Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,C/o Dia Hume Pipe Culvert Near the House of Sh. Ashok Kumar S/o Sh. Baga Ram Vill. Mansai G. P. Mansai Teh.. Nadaun Dev. Block Nadaun Distt. Hamirpur HP,2023-08-27,300000,2023-12-04
714,Normal/Others,WS/MP078/2023-2024/13573-Lighting of public spaces,Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,"Installation of Nine (09) flood/Solar Light signal octive pole with 4 lights each 40 watt. at Kangoo Bazar Chowk near GSSS Kangoo-1, kangoo bazar Chowk, Hamirpur Road -1, kangoo Bazar Chowk near Sub Tehsil kangoo-1, Dhaneta bazar Bus Stand Chowk - 1, Jharedi bazar Chowk - 1, Jharedi Dagoh Chowk Road-1, jharedi Bazar hanuman Chowk-1, kangoo to hamirpur Road at Baglamukhi Chowk (Miyan Di Bal)-1, Dhaneta Bazar Hospital Chowk -1 all in Dev. Block Nadaun Distt. Hamirpur (HP)",2023-08-27,900000,2024-01-24
715,Normal/Others,"WS/MP078/2023-2024/13575-Construction of roads, link roads, pathways or any other road with or without drainage system",Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,C/o Ambulance Road and Retaining wall on Kudhar to Hamirpur Link Road from the point of kathulag near the existing house of Sh. Raj Kumar and Amarjeet S/o late Sh. Longu Ram vill kahulag P.O. Salouni Teh. Dadsar Distt. Hamirpur (HP),2023-08-27,500000,2023-10-19
716,Normal/Others,WS/MP078/2023-2024/13576-Installing hand pumps,Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,Installation of hand Pump with Motor near the house of Sh. Raj Kumar S/o Late sh. Longu Ram vill. Kathulag(Chakdahad) P.O. Saloni Tehsil Barsar Dev. Block Bijhri Distt. Hamirpur (HP),2023-08-27,300000,2023-10-19
717,Normal/Others,WS/MP078/2023-2024/13577-Street lights,Himachal Pradesh,SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,Installation and fixing of 05 Nos Solar Lights at Kachche Dhare near Lal Kothi near Sanskrit College Fagli Distt. Shimla (HP) SC Basti,2023-08-27,100000,2024-01-15
718,Normal/Others,"WS/MP078/2023-2024/13578-Construction of roads, link roads, pathways or any other road with or without drainage system",Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,"C/o L/R from main road to vill. Bakniyar, G.P. Bhated Dev. Block Bamson Distt. Hamirpur (HP)",2023-08-27,103203,2023-11-08
719,Normal/Others,"WS/MP078/2023-2024/13579-Construction of roads, link roads, pathways or any other road with or without drainage system",Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,C/o L/R from Ghurana Puli to the house of Madan Lal Vill. Lambera G. P. Khyah Lohakhariyan Dev. Block Hamirpur Distt. Hamirpur H.P.,2023-08-27,100000,2023-09-23
720,Normal/Others,WS/MP078/2023-2024/13581-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,"C/o shamshan Ghat Shed at vill. Naadsi, G. P. Naadsi, Dev. Block Bamson Distt. Hamirpur (HP)",2023-08-27,100000,2023-09-18
721,Normal/Others,"WS/MP078/2023-2024/13582-Construction of roads, link roads, pathways or any other road with or without drainage system",Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,"C/o L/R from main Road to the house of Jagdish Rana Ward No. 4 G.P. Chabutra, Dev. Block Sujanpur Distt. Hamirpur (HP)",2023-08-27,100000,2023-10-07
722,Normal/Others,"WS/MP078/2023-2024/13585-Construction of roads, link roads, pathways or any other road with or without drainage system",Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,"C/o L/R from Main Road to the house of Sh. Subhash Chand Vill Lahaul, G.P. Chabutari Dev. Block Sujanpur Distt. Hamirpur (HP)",2023-08-27,100000,2023-10-07
723,Normal/Others,WS/MP078/2023-2024/13589-Installation of multi-gym equipment,Himachal Pradesh,SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,Installation of Open Gym at Village Thana (Koti) G.P. Thana Dev. Block Jubbal Kot Khai Distt. Shimla (HP),2023-08-27,500000,2023-12-22
724,Normal/Others,WS/MP078/2023-2024/13590-Installation of multi-gym equipment,Himachal Pradesh,SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,Installation of Open Gym at Village Matasa G.P. Nakradi Dev. Block Jubbal Distt. Shimla (HP),2023-08-27,500000,2023-10-07
725,Normal/Others,WS/MP078/2023-2024/13591-Construction of additional rooms and halls in the existing public and community building,Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,C/o additional room in community Centre at Vill. Jhareri G.P. Badhera on ground floor Dev. Block Nadaun Distt. Hamirpur (HP),2023-08-27,250000,2023-12-04
726,Normal/Others,WS/MP078/2023-2024/13592-Construction of additional rooms and halls in the existing public and community building,Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,"C/o additional room in community centre on First Floor at Vill. Jhareri, G.P. Badhera Dev. Block Nadaun Distt. Hamirpur (HP)",2023-08-27,250000,2023-12-04
727,Normal/Others,"WS/MP078/2023-2024/13594-Construction of roads, link roads, pathways or any other road with or without drainage system",Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,"C/o Pacca L/R from NH upto house of Kavishva Koshal Vill. Saloh, G.P. Nounghi, Dev. Block Nadaun District Hamirpur (HP)",2023-08-27,150000,2023-12-04
728,Normal/Others,"WS/MP078/2023-2024/13595-Construction of roads, link roads, pathways or any other road with or without drainage system",Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,"C/o L/R from the house of Reena Devi towards Khadli Village Gurehar, G.P. Kolha, Dev. Block Nadaun Distt. Hamirpur (HP)",2023-08-27,100000,2024-01-24
729,Normal/Others,WS/MP078/2023-2024/13596-Construction of public toilets and bathrooms,Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,"C/o Public toilets at Rangas Bazar Vill. Kheri G.P. Nounghi, Dev. Block Nadaun District Hamirpur (HP)",2023-08-27,200000,2023-12-04
730,Normal/Others,WS/MP078/2023-2024/13597-Construction of bus-sheds or bus-stops,Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,C/o Rain Shelter near Vetenery Centre at V & PO bhadrol Dev. Block Nadaun Distt. Hamirpur (HP),2023-08-27,200000,2023-12-04
731,Normal/Others,"WS/MP078/2023-2024/13598-Construction of roads, link roads, pathways or any other road with or without drainage system",Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,"C/o Pacca road from Dhar Road near bridge to the house of Pirthi chand and Balbir Singh Vill Roppa Brahmana, G.P. Jyoli Devi, Dev. Block Bijri, Distt. Hamirpur (HP)",2023-08-27,200000,2023-10-19
732,Normal/Others,WS/MP078/2023-2024/13599-Construction of culverts and bridges,Himachal Pradesh,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,"C/o culvert near the house of Jaan Mohamed, Rehmad Vill. Baloun G.P. Rangas, Dev. Block Nadaun, Distt. Hamirpur (HP)",2023-08-27,200000,2024-02-15
733,Normal/Others,"WS/MP106/2023-2024/13912-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Construction of C C Road from the Temple of Shankar ji up to Tar road at janpad panchayat Patan, gram panchayat Chhiturha, District Jabalpur",2023-08-28,250000,2023-10-05
734,Normal/Others,"WS/MP001/2023-2024/14253-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,"Construction Work of P.C.C Road From Reo Road to Bhola Patel Gowas(Bathani) in village Nayak Tola of Harpur Panchayat of Adapur Block,Raxual Assembly of East Champaran District (Estimated Amount 15 Lakhs)",2023-08-29,1484150,2023-10-07
735,Normal/Others,WS/MP001/2023-2024/14279-Construction of community centers and community halls,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,"Construction Work of Community Hall Near Baba Chauharmal Temple Located in Ward No -03 in Village Dariyapur of Dariyapur Panchayat of Mokama Block, Mokama Assembly of Patna District (Estimated Amount 15 Lakhs)",2023-08-29,1491483,2024-02-21
736,Normal/Others,WS/MP192/2023-2024/14648-Installing community drinking water plants,Uttar Pradesh,MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Public Drinking water- Village jagwali Sardar Patel IIT/ Law College ke pass. Working Agency-Uttar Pradesh Small Industries Corporation LTD Muradabad. Contact- Ashok Nagar- 9837856265,2023-08-31,498600,2023-09-18
737,Normal/Others,WS/MP192/2023-2024/14649-Lighting of public spaces,Uttar Pradesh,MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Lighting of Public Spaces-( six light wali) Village jagwali Sardar Patel IIT/ Law College ke pass. Working Agency-Uttar Pradesh Small Industries Corporation LTD Muradabad.,2023-08-31,126666,2023-09-18
738,Normal/Others,WS/MP192/2023-2024/14650-Lighting of public spaces,Uttar Pradesh,MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Lighting of Public Spaces-( Two light wali) Villaeg Chak Hamidpur me Akhalesh ke ghar ke pass Working Agency-Uttar Pradesh Small Industries Corporation LTD Muradabad,2023-08-31,126666,2023-09-18
739,Normal/Others,WS/MP192/2023-2024/14651-Lighting of public spaces,Uttar Pradesh,MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Lighting of Public Spaces-( Two light wali) Village chakmadpuri me chaman s/0 Tej ram singh ke Ghar ke pass. Working Agency-Uttar Pradesh Small Industries Corporation LTD Muradabad,2023-08-31,126666,2023-09-18
740,Normal/Others,NA-Lighting of public spaces,Uttar Pradesh,MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Lighting of Public Spaces-( Two light wali) Village Khatapur me Shiv mandir ke pass. Working Agency-Uttar Pradesh Small Industries Corporation LTD Muradabad,2023-08-31,127000,NA
741,Normal/Others,WS/MP192/2023-2024/14653-Lighting of public spaces,Uttar Pradesh,MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Lighting of Public Spaces-( Two light wali) Village Chakferi me veer Singh thekedar ke pass. Working Agency-Uttar Pradesh Small Industries Corporation LTD Muradabad,2023-08-31,126666,2023-09-18
742,Normal/Others,WS/MP192/2023-2024/14654-Lighting of public spaces,Uttar Pradesh,MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Lighting of Public Spaces-( Two light wali) Village Begampur me Suraj Singh ke ghar ke pass. Working Agency-Uttar Pradesh Small Industries Corporation LTD Muradabad,2023-08-31,126666,2023-09-18
743,Normal/Others,WS/MP192/2023-2024/14655-Lighting of public spaces,Uttar Pradesh,MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Lighting of Public Spaces-( Two light wali) Village madhpuri me Satendra singh ke Ghar ke pas. Working Agency-Uttar Pradesh Small Industries Corporation LTD Muradabad,2023-08-31,126666,2023-09-18
744,Normal/Others,WS/MP192/2023-2024/14656-Lighting of public spaces,Uttar Pradesh,MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Lighting of Public Spaces-( Two light wali) Village Nagalea me Rampal singh ke ghar ke pass. Working Agency-Uttar Pradesh Small Industries Corporation LTD Muradabad,2023-08-31,126666,2023-09-18
745,Normal/Others,WS/MP192/2023-2024/14657-Lighting of public spaces,Uttar Pradesh,MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,Lighting of Public Spaces-( Two light wali) Village chakferi me kartar singh ke Ghar ke pass. Working Agency-Uttar Pradesh Small Industries Corporation LTD Muradabad,2023-08-31,126666,2023-09-18
