"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"357","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265915","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","18-Aug-2026","A K CONSTRUCTION","Payment In-Progress","147378"
"358","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265916","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","18-Aug-2026","A K CONSTRUCTION","Payment In-Progress","147378"
"359","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265918","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","18-Aug-2026","A K CONSTRUCTION","Payment In-Progress","148609"
"360","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265919","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","18-Aug-2026","A K CONSTRUCTION","Payment In-Progress","149574"
"361","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265920","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","18-Aug-2026","A K CONSTRUCTION","Payment In-Progress","149253"
"362","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265921","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","18-Aug-2026","A K CONSTRUCTION","Payment In-Progress","147378"
"363","West Bengal","Lighting of public spaces","WS/MP825/2025-2026/265922","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","18-Aug-2026","A K CONSTRUCTION","Payment In-Progress","148609"
"364","Gujarat","Construction of building for artificial insemination and breeding centers","WS/MP18321/2025-2026/271406","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","25-Aug-2026","JORAJINA MUVADA GRAM PANCHAYAT","Payment In-Progress","500000"
"365","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP468/2025-2026/235770","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","21-Aug-2026","OM PRAKASH ARYA","Payment In-Progress","124752"
"366","Madhya Pradesh","Lighting of public spaces","WS/MP18109/2025-2026/240680","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","18-Aug-2026","SE O and M MPPKVVCL SIDHI","Payment In-Progress","154652"
"367","Madhya Pradesh","Lighting of public spaces","WS/MP18109/2025-2026/240681","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","14-Aug-2026","SE O and M MPPKVVCL SIDHI","Payment In-Progress","97276"
"368","Madhya Pradesh","Lighting of public spaces","WS/MP18109/2025-2026/240682","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","14-May-2026","SE O and M MPPKVVCL SIDHI","Payment In-Progress","435675"
